Latitude: 65.15293  Longitude: -147.4811
X & Y on Lambert Conformal Conic: -2193353.82 3110327.51
Tile: 13877
Elevation: 276 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,11225.14,0.00,0.35,30.66,-34.74,-40.32,17.95
1980,2,11472.58,0.00,0.32,30.66,-36.83,-41.41,15.99
1980,3,11734.87,0.00,0.45,30.66,-36.75,-43.14,13.29
1980,4,12010.98,0.00,1.36,30.66,-24.94,-43.41,12.90
1980,5,12299.90,4.81,1.21,35.47,-17.76,-36.47,26.70
1980,6,12600.67,1.76,1.11,37.23,-15.18,-23.23,94.01
1980,7,12912.40,0.00,0.75,37.23,-17.31,-22.04,104.50
1980,8,13234.22,0.00,1.56,37.23,-16.74,-26.26,71.50
1980,9,13565.33,0.00,1.85,37.23,-20.09,-30.39,48.57
1980,10,13905.00,0.00,1.87,37.23,-28.51,-37.58,23.85
1980,11,14252.52,0.00,1.98,37.23,-33.83,-42.53,14.19
1980,12,14607.25,0.00,2.91,37.23,-35.96,-45.60,10.15
1980,13,14968.59,0.00,4.04,37.23,-34.25,-47.34,8.35
1980,14,15336.00,0.00,3.76,37.23,-30.17,-39.49,19.58
1980,15,15708.96,0.00,4.02,37.23,-30.84,-39.62,19.33
1980,16,16087.00,0.00,4.97,37.23,-30.93,-41.57,15.73
1980,17,16469.68,1.54,7.11,38.77,-13.22,-40.15,18.26
1980,18,16856.61,0.00,8.87,38.77,-0.50,-30.47,48.20
1980,19,17247.41,0.00,7.24,38.77,1.26,-10.62,272.14
1980,20,17641.76,0.00,9.74,38.77,3.10,-14.36,201.03
1980,21,18039.32,0.00,8.92,38.77,2.27,-10.71,270.22
1980,22,18439.82,0.00,5.95,38.77,-3.76,-10.22,280.98
1980,23,18842.99,0.00,12.46,38.77,-14.97,-27.70,62.57
1980,24,19248.59,0.00,14.14,38.77,-20.32,-33.36,36.42
1980,25,19656.38,0.00,14.98,38.77,-18.69,-30.94,46.07
1980,26,20066.16,0.00,13.59,38.77,-16.65,-26.10,72.52
1980,27,20477.73,2.57,12.37,41.34,-12.91,-23.74,89.80
1980,28,20890.93,0.74,13.99,42.08,-11.85,-19.33,132.30
1980,29,21305.57,0.00,18.03,42.08,-15.71,-24.89,80.97
1980,30,21721.52,0.00,22.44,42.08,-21.82,-32.97,37.85
1980,31,22138.64,0.00,27.62,42.08,-21.70,-35.91,28.25
1980,32,22556.78,7.21,21.40,49.29,-20.17,-33.14,37.20
1980,33,22975.85,0.00,28.90,49.29,-14.42,-26.40,70.54
1980,34,23395.72,0.00,23.84,49.29,-12.98,-21.37,110.84
1980,35,23816.29,0.00,42.91,49.29,-1.58,-24.64,82.81
1980,36,24237.48,0.00,42.20,49.29,0.94,-16.45,169.05
1980,37,24659.20,0.00,39.12,49.29,0.46,-12.99,224.96
1980,38,25081.36,0.00,34.48,49.29,-1.42,-11.77,248.14
1980,39,25503.90,0.00,52.90,49.29,-2.88,-21.40,110.57
1980,40,25926.75,0.00,50.16,49.29,0.37,-14.65,196.30
1980,41,26349.84,0.00,42.03,49.29,3.51,-7.43,349.63
1980,42,26773.13,0.00,45.59,49.29,4.33,-6.89,364.51
1980,43,27196.56,0.00,36.33,49.29,0.28,-7.48,348.20
1980,44,27620.09,0.00,53.36,49.29,0.05,-11.47,254.35
1980,45,28043.67,0.00,53.42,49.29,-3.51,-14.13,204.85
1980,46,28467.26,0.00,60.33,49.29,-3.55,-15.18,187.81
1980,47,28890.84,0.00,67.31,49.29,-7.55,-19.65,128.73
1980,48,29314.37,0.00,77.13,49.29,-7.92,-21.21,112.38
1980,49,29737.82,0.00,70.10,49.29,-12.50,-23.06,95.49
1980,50,30161.17,0.00,76.18,49.29,-13.87,-24.78,81.79
1980,51,30584.39,0.00,76.43,49.29,-16.59,-26.82,67.90
1980,52,31007.48,0.00,90.25,49.29,-14.90,-27.35,64.61
1980,53,31430.41,0.00,111.14,49.29,-7.84,-26.35,70.90
1980,54,31853.17,0.00,119.70,49.29,-0.94,-22.64,99.12
1980,55,32275.74,0.00,86.04,49.29,-1.95,-12.30,237.91
1980,56,32698.12,0.00,115.09,49.29,-2.25,-17.84,150.30
1980,57,33120.31,0.76,103.24,50.05,-7.95,-19.84,126.58
1980,58,33542.29,0.00,102.49,50.05,-6.32,-17.69,152.19
1980,59,33964.06,0.00,83.99,50.05,-7.60,-16.03,175.02
1980,60,34385.62,0.00,138.09,50.05,-7.35,-24.53,83.62
1980,61,34806.97,0.00,142.52,50.05,-6.85,-24.17,86.45
1980,62,35228.11,0.00,136.79,50.05,-5.39,-20.13,123.51
1980,63,35649.05,0.00,128.21,50.05,-5.50,-18.12,146.72
1980,64,36069.78,0.00,134.86,50.05,-2.20,-15.46,183.53
1980,65,36490.32,0.00,124.35,50.05,-3.20,-14.14,204.74
1980,66,36910.66,0.00,152.27,50.05,-0.91,-15.06,187.76
1980,67,37330.82,0.00,160.47,50.05,0.58,-14.25,191.55
1980,68,37750.80,1.05,118.96,51.10,-2.06,-11.29,258.03
1980,69,38170.62,1.26,123.84,52.36,-4.94,-14.01,207.00
1980,70,38590.28,0.00,130.99,52.36,-3.69,-12.96,225.40
1980,71,39009.79,0.00,128.52,52.36,-3.52,-12.23,239.11
1980,72,39429.16,0.00,154.35,52.36,-6.65,-17.21,158.49
1980,73,39848.41,0.00,150.80,52.36,-11.46,-21.31,111.43
1980,74,40267.55,0.00,178.54,52.36,-14.65,-26.68,68.78
1980,75,40686.60,0.00,208.77,52.36,-15.76,-31.36,44.22
1980,76,41105.55,0.00,222.78,52.36,-14.98,-32.45,39.82
1980,77,41524.44,0.00,236.02,52.36,-10.16,-30.31,46.71
1980,78,41943.26,0.00,223.08,52.36,-9.82,-26.06,68.43
1980,79,42362.05,0.00,248.76,52.36,-1.22,-23.10,67.55
1980,80,42780.80,0.00,227.13,52.36,1.78,-14.44,131.16
1980,81,43199.54,0.00,175.58,52.36,2.49,-8.14,246.33
1980,82,43618.28,0.00,240.31,52.36,4.88,-12.27,133.16
1980,83,44037.04,0.00,249.68,52.36,4.14,-13.63,117.25
1980,84,44455.82,0.00,256.80,52.36,4.23,-13.82,110.99
1980,85,44874.65,0.00,216.20,52.36,3.09,-9.67,180.76
1980,86,45293.53,0.00,240.61,52.36,2.79,-11.93,139.21
1980,87,45712.49,0.00,255.20,52.36,3.82,-12.20,123.67
1980,88,46131.53,0.00,227.70,52.36,0.01,-12.82,145.17
1980,89,46550.67,0.00,267.66,52.36,2.61,-14.25,103.06
1980,90,46969.92,0.00,231.47,52.36,4.99,-7.76,176.99
1980,91,47389.30,0.00,277.62,52.36,7.41,-9.43,115.88
1980,92,47808.81,0.00,229.92,51.74,7.49,-4.53,204.23
1980,93,48228.46,0.00,235.76,51.22,7.43,-4.77,193.36
1980,94,48648.28,0.00,277.34,51.22,7.28,-8.14,123.00
1980,95,49068.26,0.00,185.88,51.22,2.65,-6.08,248.45
1980,96,49488.42,0.00,224.07,51.22,0.12,-10.49,149.27
1980,97,49908.76,0.00,271.91,51.22,0.29,-13.33,96.84
1980,98,50329.30,0.00,285.99,51.22,1.87,-12.77,87.46
1980,99,50750.03,0.00,283.50,51.22,4.20,-10.11,95.39
1980,100,51170.97,0.00,258.97,51.22,0.81,-11.52,111.04
1980,101,51592.11,0.00,223.12,51.22,-2.49,-12.50,135.08
1980,102,52013.46,0.00,250.18,51.22,-2.92,-14.33,106.38
1980,103,52435.02,0.00,229.15,51.22,-1.52,-11.64,133.62
1980,104,52856.79,0.00,315.67,51.22,4.12,-11.86,80.76
1980,105,53278.77,0.00,319.63,51.22,5.58,-10.50,90.70
1980,106,53700.95,0.00,312.07,51.22,6.10,-8.99,103.07
1980,107,54123.34,0.00,321.62,51.22,6.49,-9.01,102.88
1980,108,54545.91,0.00,326.75,51.22,6.78,-8.89,103.94
1980,109,54968.67,0.00,287.61,51.08,6.65,-5.66,135.77
1980,110,55391.59,0.00,212.27,50.12,4.47,-3.72,193.50
1980,111,55814.68,0.00,215.73,49.30,4.16,-4.05,185.38
1980,112,56237.91,0.00,330.44,49.30,7.34,-7.03,121.32
1980,113,56661.26,0.00,324.35,48.52,9.52,-4.13,153.59
1980,114,57084.71,0.00,328.45,47.81,9.34,-4.31,151.42
1980,115,57508.23,0.00,349.11,47.63,9.58,-5.58,136.63
1980,116,57931.81,0.00,329.97,46.45,10.33,-3.17,165.91
1980,117,58355.41,0.00,343.71,44.52,13.00,-1.42,190.67
