Latitude: 63.53988  Longitude: -142.3896
X & Y on Lambert Conformal Conic: -2070536.71 2820668.15
Tile: 13699
Elevation: 873 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,15034.88,0.00,5.08,27.96,-29.48,-41.53,15.80
1980,2,15211.60,0.00,5.02,27.96,-29.89,-40.34,17.91
1980,3,15400.85,0.00,4.46,27.96,-33.16,-41.67,15.56
1980,4,15602.10,0.00,6.87,27.96,-27.71,-43.91,12.22
1980,5,15814.85,8.19,5.69,36.15,-17.98,-36.61,26.33
1980,6,16038.58,1.50,3.92,37.65,-15.27,-21.88,105.93
1980,7,16272.77,5.14,5.57,42.79,-13.87,-26.36,70.81
1980,8,16516.92,0.00,8.24,42.79,-16.86,-29.01,55.32
1980,9,16770.53,0.00,10.32,42.79,-12.39,-28.38,58.71
1980,10,17033.10,0.00,10.13,42.79,-26.52,-39.04,20.51
1980,11,17304.16,0.00,6.52,42.79,-37.22,-43.72,12.47
1980,12,17583.25,0.00,8.36,42.79,-40.37,-48.41,7.39
1980,13,17869.92,0.00,10.17,42.79,-39.53,-49.26,6.70
1980,14,18163.74,0.00,11.86,42.79,-34.98,-46.31,9.37
1980,15,18464.30,0.00,13.45,42.79,-31.81,-42.69,13.94
1980,16,18771.19,0.00,16.37,42.79,-26.62,-40.03,18.50
1980,17,19084.05,3.76,15.45,46.55,-10.34,-35.17,30.45
1980,18,19402.51,0.00,18.42,46.55,-3.79,-18.13,146.59
1980,19,19726.22,0.00,19.79,46.55,-4.01,-19.13,134.61
1980,20,20054.86,0.00,21.34,46.55,-4.99,-18.77,138.86
1980,21,20388.12,0.00,25.02,46.55,-2.41,-18.63,140.55
1980,22,20725.70,0.00,19.22,46.55,-2.53,-12.15,240.79
1980,23,21067.33,0.00,23.21,46.55,-14.96,-25.55,76.28
1980,24,21412.73,0.00,29.32,46.55,-20.76,-34.88,31.33
1980,25,21761.66,0.00,27.53,46.55,-23.28,-34.31,33.17
