Latitude: 66.20913  Longitude: -150.2703
X & Y on Lambert Conformal Conic: -2236947.81 3286985.25
Tile: 14055
Elevation: 530 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,7508.43,0.00,0.09,34.76,-39.78,-43.60,12.63
1980,2,7885.33,0.00,0.14,34.76,-38.01,-43.44,12.86
1980,3,8274.48,0.00,0.18,34.76,-36.94,-43.28,13.08
1980,4,8674.14,0.00,0.40,34.76,-28.78,-44.79,11.10
1980,5,9082.82,0.00,0.41,34.76,-19.92,-32.27,40.50
1980,6,9499.26,2.93,0.17,37.69,-17.42,-23.22,94.11
1980,7,9922.38,0.00,0.27,37.69,-18.90,-24.68,82.52
1980,8,10351.25,0.00,0.50,37.69,-20.15,-30.13,49.78
1980,9,10785.10,0.00,0.63,37.69,-21.14,-32.92,38.03
1980,10,11223.24,0.00,0.69,37.69,-29.24,-40.12,18.33
1980,11,11665.08,0.00,0.60,37.69,-34.67,-42.48,14.26
1980,12,12110.12,0.00,1.02,37.69,-33.30,-42.47,14.28
1980,13,12557.92,0.00,1.28,37.69,-32.03,-40.50,17.61
1980,14,13008.10,0.00,1.51,37.69,-30.38,-38.31,22.13
1980,15,13460.31,0.00,1.94,37.69,-31.61,-41.38,16.05
1980,16,13914.27,0.00,2.07,37.69,-32.85,-41.66,15.57
1980,17,14369.70,0.00,3.11,37.69,-24.52,-41.96,15.08
1980,18,14826.39,2.04,3.14,39.73,-6.33,-29.90,50.87
1980,19,15284.11,0.00,3.34,39.73,-1.35,-11.25,258.81
1980,20,15742.70,0.00,4.83,39.73,-1.08,-15.03,190.22
1980,21,16201.99,0.00,4.89,39.73,-0.17,-11.56,252.48
1980,22,16661.82,6.59,3.89,46.32,-4.42,-14.59,197.36
1980,23,17122.08,0.00,8.52,46.32,-15.00,-30.60,47.61
1980,24,17582.65,0.00,9.88,46.32,-23.04,-37.29,24.57
1980,25,18043.41,0.00,9.99,46.32,-21.09,-32.53,39.50
1980,26,18504.28,0.00,8.49,46.32,-18.65,-26.80,68.02
1980,27,18965.16,2.34,8.60,48.67,-12.37,-23.36,92.90
1980,28,19425.99,0.00,11.21,48.67,-12.97,-21.34,111.15
1980,29,19886.69,0.00,15.75,48.67,-13.47,-25.26,78.31
1980,30,20347.20,0.00,18.29,48.67,-21.85,-34.85,31.43
1980,31,20807.46,0.00,16.27,48.67,-28.10,-37.20,24.80
1980,32,21267.43,0.00,23.26,48.67,-23.99,-38.26,22.25
1980,33,21727.06,0.00,24.59,48.67,-16.36,-29.66,52.05
1980,34,22186.30,5.88,14.18,54.54,-14.85,-22.86,97.14
1980,35,22645.12,0.70,31.48,55.24,-8.83,-24.30,85.38
