Latitude: 65.91047  Longitude: -149.7807
X & Y on Lambert Conformal Conic: -2237460.77 3245013.87
Tile: 13876
Elevation: 118 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,8727.52,0.00,0.14,24.41,-39.21,-43.34,13.00
1980,2,9050.91,0.00,0.19,24.41,-38.39,-43.47,12.81
1980,3,9388.85,0.00,0.24,24.41,-37.64,-43.63,12.60
1980,4,9739.75,0.00,0.49,24.41,-29.16,-45.02,10.82
1980,5,10102.16,0.00,0.48,24.41,-20.05,-33.30,36.62
1980,6,10474.81,0.05,0.25,24.45,-17.17,-23.27,93.67
1980,7,10856.53,0.00,0.24,24.45,-18.68,-23.82,89.20
1980,8,11246.32,0.00,0.46,24.45,-20.40,-29.35,53.59
1980,9,11643.28,0.00,0.61,24.45,-21.71,-33.06,37.50
1980,10,12046.59,0.00,0.95,24.45,-29.55,-40.21,18.15
1980,11,12455.54,0.00,1.06,24.45,-35.22,-43.31,13.05
1980,12,12869.51,0.00,1.36,24.45,-35.12,-44.05,12.04
1980,13,13287.93,0.00,1.58,24.45,-33.40,-42.96,13.55
1980,14,13710.29,0.00,1.65,24.45,-30.87,-38.89,20.85
1980,15,14136.15,0.00,2.05,24.45,-31.76,-41.37,16.07
1980,16,14565.11,0.00,2.08,24.45,-32.91,-41.68,15.54
1980,17,14996.81,0.00,4.21,24.45,-23.68,-40.14,18.30
1980,18,15430.92,0.00,4.72,24.45,-6.20,-26.44,70.30
1980,19,15867.17,0.00,3.55,24.45,-1.64,-11.48,254.05
1980,20,16305.29,0.00,5.14,24.45,-1.11,-15.59,181.58
1980,21,16745.05,0.00,4.29,24.45,-0.33,-10.25,280.26
1980,22,17186.23,6.46,5.12,30.91,-2.30,-14.35,201.15
1980,23,17628.64,0.00,9.49,30.91,-13.41,-30.73,47.01
1980,24,18072.12,0.00,10.32,30.91,-22.66,-37.31,24.53
1980,25,18516.50,0.00,9.80,30.91,-21.07,-32.34,40.23
1980,26,18961.65,0.00,8.92,30.91,-19.33,-27.28,65.05
1980,27,19407.43,1.52,12.52,32.43,-12.95,-23.70,90.17
1980,28,19853.73,0.00,11.69,32.43,-12.90,-21.19,112.59
1980,29,20300.43,0.00,15.91,32.43,-13.93,-25.34,77.71
1980,30,20747.46,0.00,19.06,32.43,-21.89,-35.04,30.85
1980,31,21194.70,0.00,19.01,32.43,-26.78,-37.28,24.59
1980,32,21642.10,0.57,23.55,33.00,-23.36,-37.02,25.26
1980,33,22089.57,0.00,23.63,33.00,-16.35,-28.95,55.66
1980,34,22537.04,0.89,19.05,33.89,-14.84,-22.50,100.35
1980,35,22984.47,0.32,32.30,34.21,-7.76,-24.59,83.17
1980,36,23431.79,0.00,31.55,34.21,-3.69,-17.42,155.73
1980,37,23878.96,0.00,31.25,34.21,-2.58,-15.06,189.69
1980,38,24325.93,0.70,32.49,34.91,-2.42,-13.64,213.27
1980,39,24772.66,0.00,44.14,34.91,-6.29,-24.25,85.78
1980,40,25219.12,0.00,39.12,34.91,-3.69,-16.04,174.93
1980,41,25665.27,0.00,35.45,34.91,-0.80,-10.59,272.81
1980,42,26111.10,0.00,41.12,34.91,1.91,-9.09,307.17
1980,43,26556.57,0.00,33.24,34.91,-0.78,-8.51,321.56
1980,44,27001.66,0.00,48.44,34.91,-1.04,-12.51,233.80
1980,45,27446.37,0.00,48.34,34.91,-4.11,-14.55,197.87
1980,46,27890.66,0.00,56.03,34.91,-5.43,-17.42,155.77
1980,47,28334.53,0.00,59.97,34.91,-8.75,-20.63,118.21
1980,48,28777.97,0.00,65.07,34.91,-9.84,-21.90,105.80
1980,49,29220.96,0.00,64.32,34.91,-12.46,-23.48,91.92
1980,50,29663.51,0.00,67.99,34.91,-14.51,-25.39,77.37
1980,51,30105.62,0.00,77.32,34.91,-15.72,-28.09,60.31
1980,52,30547.27,0.00,72.12,34.91,-15.99,-26.34,70.93
1980,53,30988.47,0.00,87.63,34.91,-13.21,-26.13,72.31
1980,54,31429.22,0.00,104.46,34.91,-5.37,-23.68,90.32
