Latitude: 63.39566  Longitude: -142.4936
X & Y on Lambert Conformal Conic: -2083206.73 2808865.53
Tile: 13699
Elevation: 717 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,15369.60,0.00,5.52,15.90,-28.78,-41.44,15.94
1980,2,15541.62,0.00,5.20,15.90,-29.04,-39.76,19.03
1980,3,15725.94,0.00,4.68,15.90,-32.36,-41.20,16.36
1980,4,15922.06,0.00,6.92,15.90,-27.69,-43.72,12.47
1980,5,16129.51,8.66,5.61,24.57,-17.86,-36.00,28.00
1980,6,16347.79,1.13,4.49,25.69,-15.20,-21.60,108.65
1980,7,16576.42,5.72,6.05,31.41,-13.61,-25.57,76.13
1980,8,16814.91,0.00,8.19,31.41,-16.84,-27.95,61.13
1980,9,17062.79,0.00,10.61,31.41,-12.26,-28.18,59.84
1980,10,17319.59,0.00,10.27,31.41,-26.11,-38.90,20.82
1980,11,17584.84,0.00,6.92,31.41,-36.62,-43.40,12.92
1980,12,17858.10,0.00,8.46,31.41,-39.79,-47.75,7.96
1980,13,18138.95,0.00,10.15,31.41,-39.52,-48.93,6.96
1980,14,18426.95,0.00,12.93,31.41,-35.22,-46.20,9.49
1980,15,18721.72,0.00,13.23,31.41,-31.98,-42.13,14.81
1980,16,19022.87,0.00,16.54,31.41,-26.78,-40.12,18.33
1980,17,19330.02,3.79,15.44,35.21,-10.49,-34.89,31.32
1980,18,19642.82,0.00,17.54,35.21,-4.54,-17.66,152.56
1980,19,19960.94,0.00,18.86,35.21,-5.12,-17.21,158.57
1980,20,20284.05,0.00,20.71,35.21,-5.86,-18.30,144.57
1980,21,20611.84,0.00,23.34,35.21,-3.25,-17.06,160.56
1980,22,20944.02,0.00,19.14,35.21,-3.56,-12.78,228.80
1980,23,21280.33,0.00,26.76,35.21,-12.66,-26.48,70.01
