Latitude: 65.28427  Longitude: -146.7293
X & Y on Lambert Conformal Conic: -2154272.69 3103609.31
Tile: 13877
Elevation: 528 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,10885.09,0.00,0.34,34.07,-34.14,-39.54,19.48
1980,2,11140.98,0.00,0.31,34.07,-36.89,-41.41,15.99
1980,3,11411.86,0.00,0.43,34.07,-37.25,-43.39,12.92
1980,4,11696.61,0.00,0.92,34.07,-26.36,-43.87,12.27
1980,5,11994.16,5.03,1.05,39.10,-19.02,-41.83,15.30
1980,6,12303.51,2.33,1.06,41.43,-16.77,-29.12,54.80
1980,7,12623.71,0.00,0.93,41.43,-20.57,-26.51,69.86
1980,8,12953.88,0.00,2.00,41.43,-15.40,-29.75,51.61
1980,9,13293.19,0.00,1.92,41.43,-19.49,-30.09,49.95
1980,10,13640.87,0.00,1.86,41.43,-28.87,-37.68,23.61
1980,11,13996.23,0.00,1.83,41.43,-34.41,-42.52,14.21
1980,12,14358.59,0.00,2.13,41.43,-36.96,-45.84,9.87
1980,13,14727.36,0.00,3.79,41.43,-35.43,-47.94,7.80
1980,14,15101.99,0.00,4.01,41.43,-31.21,-41.72,15.47
1980,15,15481.95,0.00,4.34,41.43,-31.06,-41.50,15.84
1980,16,15866.79,0.00,5.56,41.43,-31.35,-44.38,11.60
1980,17,16256.07,2.17,5.41,43.59,-14.73,-44.27,11.75
1980,18,16649.39,0.00,7.67,43.59,-3.95,-35.24,30.24
1980,19,17046.40,0.00,8.15,43.59,-1.42,-16.61,166.68
1980,20,17446.75,0.00,9.04,43.59,1.13,-14.24,203.11
1980,21,17850.13,0.00,9.81,43.59,-0.73,-14.95,191.49
1980,22,18256.28,0.00,2.72,43.59,-6.48,-9.27,302.87
1980,23,18664.92,0.00,10.17,43.59,-15.33,-25.81,74.46
1980,24,19075.82,0.00,12.63,43.59,-21.80,-32.69,38.89
1980,25,19488.76,0.00,15.46,43.59,-21.31,-34.52,32.47
1980,26,19903.53,0.00,15.31,43.59,-16.50,-27.87,61.61
1980,27,20319.95,2.93,13.23,46.52,-13.10,-26.19,71.93
1980,28,20737.85,1.21,14.46,47.73,-12.17,-20.35,121.18
