Latitude: 63.40618  Longitude: -142.4721
X & Y on Lambert Conformal Conic: -2081659.8 2809377.73
Tile: 13699
Elevation: 813 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,15369.60,0.00,5.71,19.16,-28.74,-41.39,16.03
1980,2,15541.62,0.00,5.39,19.16,-29.02,-39.75,19.06
1980,3,15725.94,0.00,4.84,19.16,-32.32,-41.15,16.45
1980,4,15922.06,0.00,7.16,19.16,-27.68,-43.67,12.54
1980,5,16129.51,8.62,5.82,27.78,-17.83,-36.00,27.99
1980,6,16347.79,1.20,4.66,28.98,-15.16,-21.58,108.76
1980,7,16576.42,5.65,6.31,34.63,-13.58,-25.73,75.04
1980,8,16814.91,0.00,8.69,34.63,-16.80,-28.39,58.65
1980,9,17062.79,0.00,10.96,34.63,-12.18,-28.11,60.23
1980,10,17319.59,0.00,10.54,34.63,-26.17,-38.83,20.96
1980,11,17584.84,0.00,7.12,34.63,-36.61,-43.38,12.94
1980,12,17858.10,0.00,8.74,34.63,-39.77,-47.76,7.95
1980,13,18138.95,0.00,10.47,34.63,-39.47,-48.90,6.99
1980,14,18426.95,0.00,13.36,34.63,-35.16,-46.19,9.49
1980,15,18721.72,0.00,13.66,34.63,-31.91,-42.12,14.82
1980,16,19022.87,0.00,17.00,34.63,-26.70,-40.03,18.51
1980,17,19330.02,3.89,15.91,38.52,-10.47,-34.82,31.52
1980,18,19642.82,0.00,17.80,38.52,-4.87,-17.66,152.56
1980,19,19960.94,0.00,20.32,38.52,-5.36,-18.42,143.00
1980,20,20284.05,0.00,22.14,38.52,-5.85,-19.20,133.86
1980,21,20611.84,0.00,24.62,38.52,-3.76,-18.29,144.67
1980,22,20944.02,0.00,19.56,38.52,-3.64,-12.80,228.32
1980,23,21280.33,0.00,26.60,38.52,-13.82,-26.92,67.26
1980,24,21620.48,0.00,30.58,38.52,-20.28,-34.83,31.49
1980,25,21964.25,0.00,28.96,38.52,-23.10,-34.50,32.54
1980,26,22311.39,0.00,29.91,38.52,-24.06,-34.96,31.08
1980,27,22661.67,0.00,36.38,38.52,-17.05,-31.06,45.54
1980,28,23014.90,1.60,30.77,40.12,-13.71,-23.42,92.41
1980,29,23370.87,0.00,21.76,40.12,-17.75,-23.60,90.92
1980,30,23729.39,0.00,34.39,40.12,-24.24,-33.68,35.29
1980,31,24090.29,2.39,31.56,42.51,-21.43,-33.06,37.52
1980,32,24453.40,0.00,38.94,42.51,-17.36,-26.86,67.64
1980,33,24818.56,0.00,43.37,42.51,-13.66,-23.96,88.03
1980,34,25185.63,0.00,48.84,42.51,-7.90,-19.32,132.49
1980,35,25554.47,0.00,61.66,42.51,-6.62,-24.12,86.80
1980,36,25924.95,0.00,60.71,42.51,-3.85,-18.28,144.78
1980,37,26296.95,0.00,56.67,42.51,-5.99,-17.49,154.78
1980,38,26670.34,0.00,65.19,42.51,-3.74,-17.53,154.33
1980,39,27045.02,0.00,67.69,42.51,-5.73,-19.10,135.00
1980,40,27420.90,0.00,73.37,42.51,-2.95,-17.47,155.11
1980,41,27797.87,0.00,62.91,42.51,-4.64,-15.01,190.57
1980,42,28175.85,0.00,66.89,42.51,-4.23,-14.91,192.11
1980,43,28554.75,0.00,74.08,42.51,-4.63,-16.31,171.01
1980,44,28934.49,0.00,87.29,42.51,-8.02,-22.45,100.78
1980,45,29315.01,0.00,96.48,42.51,-7.35,-24.45,84.29
1980,46,29696.24,0.00,92.83,42.51,-10.12,-24.12,86.80
1980,47,30078.10,0.00,104.96,42.51,-12.39,-28.82,56.36
1980,48,30460.55,0.00,109.16,42.51,-13.28,-30.10,49.92
1980,49,30843.52,0.00,112.91,42.51,-15.48,-31.96,41.74
1980,50,31226.97,0.00,99.15,42.51,-20.94,-32.77,38.57
1980,51,31610.85,0.00,110.90,42.51,-15.73,-29.28,53.96
1980,52,31995.12,0.00,112.80,42.51,-15.16,-28.34,58.96
1980,53,32379.73,0.00,126.29,42.51,-12.03,-27.67,62.73
1980,54,32764.66,0.00,134.74,42.51,-7.75,-24.93,80.68
1980,55,33149.85,0.00,130.86,42.51,-6.32,-21.34,111.09
1980,56,33535.29,0.00,140.63,42.51,-5.10,-21.92,105.58
1980,57,33920.94,0.00,117.79,42.51,-4.39,-15.81,178.30
1980,58,34306.78,0.00,62.39,42.51,-5.79,-10.94,265.32
1980,59,34692.79,0.00,62.47,42.51,-6.00,-11.00,264.00
1980,60,35078.93,0.00,151.43,42.51,-9.28,-23.92,88.35
1980,61,35465.20,0.00,157.98,42.51,-12.33,-27.52,63.61
1980,62,35851.57,0.00,166.85,42.51,-10.92,-27.32,64.79
1980,63,36238.03,0.00,166.90,42.51,-8.82,-24.42,84.49
1980,64,36624.57,0.00,163.46,42.51,-6.10,-20.51,119.44
1980,65,37011.16,0.00,186.18,42.51,-2.99,-21.12,113.30
1980,66,37397.81,0.00,198.00,42.51,-1.42,-21.82,106.51
1980,67,37784.50,0.00,163.02,42.51,-1.48,-14.39,200.53
1980,68,38171.23,0.00,145.21,42.51,-0.26,-10.91,266.00
1980,69,38557.97,0.00,137.40,42.51,-1.73,-11.22,259.41
1980,70,38944.74,0.00,195.20,42.51,-3.78,-19.01,135.99
1980,71,39331.52,0.00,178.86,42.51,-6.82,-19.45,130.95
1980,72,39718.32,0.00,141.38,42.51,-6.74,-15.73,179.47
1980,73,40105.12,0.00,114.56,42.51,-9.62,-16.40,169.71
1980,74,40491.92,0.00,142.76,42.51,-13.44,-21.77,106.97
1980,75,40878.73,0.00,166.94,42.51,-12.99,-22.69,98.67
1980,76,41265.54,0.00,183.63,42.51,-12.43,-23.03,95.73
1980,77,41652.35,0.00,227.58,42.51,-7.33,-21.78,101.24
1980,78,42039.16,0.00,255.72,42.51,-5.21,-23.62,78.91
1980,79,42425.96,0.00,276.48,42.51,-2.67,-26.37,56.62
1980,80,42812.77,0.00,284.96,42.51,-2.05,-29.08,43.16
1980,81,43199.58,0.00,269.77,42.51,1.66,-18.00,101.61
1980,82,43586.38,0.00,282.17,42.51,0.61,-21.03,78.71
1980,83,43973.19,0.00,292.89,42.51,1.42,-22.60,65.54
1980,84,44360.00,0.00,300.63,42.51,2.15,-23.44,58.33
1980,85,44746.81,0.00,299.39,42.51,2.34,-21.13,69.60
1980,86,45133.62,0.00,293.91,42.51,1.98,-19.06,83.48
1980,87,45520.42,0.00,299.24,42.51,2.56,-18.99,80.68
1980,88,45907.23,0.00,271.72,42.51,3.82,-13.27,130.77
